"GRIB符号","要素名","GVD1","単位","意味"
1,"Pres",,"${\rm Pa}$","気圧"
1,"P","*","${\rm hPa}$","気圧"
1,"PAI","*","${\rm hPa}$","気圧"
2,"Pmsl",,"${\rm Pa}$","海面更正気圧"
2,"PSEA","*","${\rm hPa}$","海面更正気圧"
2,"SLP","*","${\rm hPa}$","海面更正気圧"
3,"Ptend",,"${\rm Pa/s}$","気圧変化の傾向"
4,"pVOR",,"${\rm K \cdot m^2/ (kg \cdot s)}$","ポテンシャル渦度"
5,"sarH",,"${\rm m}$","ＩＣＡＯ標準大気参照高度"
6,"G",,"${\rm m^2/s^2}$","ジオポテンシャル"
6,"PHI","*","${\rm m^2/s^2}$","ジオポテンシャル"
7,"gpH",,"${\rm gpm}$","ジオポテンシャル高度"
7,"Z","*","${\rm m}$","ジオポテンシャル高度"
8,"gmH",,"${\rm m}$","幾何学的高度"
9,"sdH",,"${\rm m}$","高度の標準偏差"
10,"tOZON",,"${\rm Dobson}$","オゾン全量"
11,"T","*","${\rm K}$","気温"
12,"vT",,"${\rm K}$","仮温度"
13,"pT",,"${\rm K}$","温位"
14,"papT",,"${\rm K}$","偽断熱温位"
15,"maxT",,"${\rm K}$","最高気温"
16,"minT",,"${\rm K}$","最低気温"
17,"dT",,"${\rm K}$","露点温度"
18,"TTD","*","${\rm K}$","湿数"
19,"TRate",,"${\rm K/m}$","気温減率"
20,"VIS",,"${\rm m}$","視程"
21,"Radr1",,,"レーダースペクトル（ａ）"
22,"Radr2",,,"レーダースペクトル（ｂ）"
23,"Radr3",,,"レーダースペクトル（ｃ）"
24,"PLI50",,"${\rm K}$","500hPa面への気塊持ち上げ指数"
25,"Tano",,"${\rm K}$","気温偏差"
26,"Pano",,"${\rm hPa}$","気圧偏差"
27,"gpHan",,"${\rm gpm}$","ジオポテンシャル高度偏差"
27,"Zan",,"${\rm m}$","ジオポテンシャル高度偏差"
28,"Wave1",,,"波のスペクトル（ａ）"
29,"Wave2",,,"波のスペクトル（ｂ）"
30,"Wave3",,,"波のスペクトル（ｃ）"
